Word,Definitions
storm,"bad weather with a lot of rain, snow, and strong winds"
bread,"baked food made from flour, used in sandwiches, etc."
belt,band of material worn around a person's waist
truly,based on truth or fact or reality
cheap,not costing a lot of money
check,to confirm the details of something are correct
liquid,basic state of things that is similar to water; not solid or gas
framework,basic structure of something
firstly,before anything else
aggressive,behaving in a very threatening way
chief,most important one
equivalent,"being about equal in value, use, or meaning"
mature,"being an adult, being fully developed physically"
smart,"being clever, having a good mind"
choice,decision between two or more possibilities
choose,to select; decide between several possibilities
prompt,being done quickly and with no delay
circumstance,condition or fact that affects a situation
keen,being eager or excited for something to happen
citizen,person who belongs to and has rights in a country
native,being from or living in the place where you were born
eastern,being in the area to the east
claim,to say something is true when others may not agree
in,being inside something
no,being none; not having or being
contemporary,being of the time being discussed
clean,being free from dirt or marks because it was washed
poverty,being poor
clearly,in a way that is easy to understand; obviously
genuine,"being real, actual, and not false"
climb,to rise gradually and steadily to a higher point
record,being the highest or most extreme level achieved in an area
clock,a device that shows the time
vast,being very large in size or amount
idea,"belief, thought, suggestion, opinion, or plan"
of,belonging to or connected with something
club,"group of people who share an interest, as in sport"
coach,"person who teaches others how to do (sport, job) "
historic,belonging to the past; of what is important or famous in the past
extraordinary,beyond what is ordinary; very unusual; remarkable
corporation,big company or a combination of several companies
code,a password made of a set of letters or numbers
coffee,a brown drink made from roasted beans and boiled water
large,"big; of great size; broad, tall, wide, long, or fat"
cold,having a very low temperature
hand,body part at the end of a person's arm
collect,to gather things/people together in one place
collection,group of similar things gathered as a hobby
college,school or educational institution for adults
fiction,"book or story including ideas, people, and events that are not real"
combine,to mix several things together to form one thing
album,book with a collection of photographs or pictures
mystery,"book, play, or film that deals with a solution of a strange crime"
comfortable,not being worried about something; at ease
commercial,radio or television advertisement
commit,"to do something bad, usually a crime"
committee,group of people who do or decide something
common,"typical, normal; not unusual"
uncle,brother of your father or mother or the husband of your aunt
communication,talking to people; giving information to people
community,group of people who share a common idea or area
house,"building in which a family, person lives"
compare,to consider how similar and different things are
comparison,looking for differences and similarities in two or more things
office,building of set of rooms used to do business or professional activities
school,building where you learn in classes with a teacher
competition,fighting against others when trying to win something
publisher,business that produces books or magazines
personally,"by a specific person, and not by anyone else"
complete,to finish or reach the end of doing something
completely,in every way or as much as possible
complex,"difficult, not easy to understand or explain"
via,"by going through, by way of"
widely,by or among a large number of people
beside,by the side of something; next to something
flexible,capable of being easily bent or changed without breaking
observation,careful watching and listening; remark or comment on something you have noticed
pleasant,causing a good feeling
controversial,"causing a great deal of argument, discussion, or conflict"
fortune,"chance or luck, particularly good luck"
effect,change brought about by a cause; result
computer,a machine for storing information and accessing the internet
infant,child in the beginning stage of life; a baby
concept,abstract idea of something or how it works
random,chosen or done without a plan or pattern
concert,musical entertainment given in public by one or more performers
conclude,to stop or finish; to come to the end of something
conclusion,judgment or opinion after thinking for a while
distinct,clearly different in nature from something else
conduct,"to direct, lead or guide something"
confidence,feeling that you can do well at something
coat,clothing worn outside over your normal clothes
confirm,to provide evidence to establish the truth of
conflict,to have opposite ideas; to disagree; to not match
money,coins or notes we use to pay for things
information,collection of facts and details about something
connect,to join or attach things together
connection,something that joins things together; being joined
consequence,outcome of an event; result
gray,color between black and white
yellow,color of lemons or the sun
carpet,colored floor covering made of wool or other material
first,coming before all others in time or place
consideration,careful thought; thinking about something
consist,"to have as an essential, necessary or main part"
western,"coming from, found in, or facing towards the west"
airline,company that flies passengers in its planes
absolute,complete and total
whole,complete or full; all of
altogether,completely and fully
construction,act of building something; thing that is built
exact,completely correct; accurate; specific
all,completely; totally
literary,concerned with written works
consumer,person who uses goods or services; individual buyer
contact,to get in touch with someone
contain,to hold something inside something else
urban,concerning a city; located in a city
royal,concerning a king or queen
context,set of facts surrounding a person or event
institutional,concerning a large organization such as a hospital or university
presumably,concerning a true or likely nature
contrast,"to compare; to show clear, obvious differences"
contribution,"helping a cause by giving money, things, services"
agricultural,concerning farming
organic,concerning food made with few or no chemicals
political,concerning government or public affairs
classical,concerning ideas considered to be traditional
conversation,when you talk with other people; discussion or chat
sexual,concerning physical activity that can produce babies
convince,"to persuade someone, or make them feel sure"
cook,to heat food until it is ready to eat
cool,almost cold; not warm or hot
public,concerning society in general
abstract,concerning something that doesn't exist physically
copy,to make something that looks the same as the original
corporate,concerning (usually large) companies
retail,concerning the business of selling products to the public for personal use
correct,true or accurate
inner,concerning the inside part of something
mental,concerning the mind
genetic,concerning the parts of a cell that determine particular characteristics
online,connected to the internet
council,group chosen to make decisions about something
ethnic,connected with people who share a cultural tradition
count,to add things together to find the total number
tank,container for holding liquid or gas
inflation,continual rise in the prices of products
temporary,"continuing for a limited time, not permanent"
couple,two of something; two people; a pair
court,"large, flat area, to play tennis or basketball"
dialog,conversation between two or more individuals
cover,thing you put over something to close or hide it
accurate,correct; not having mistakes or errors
free,costing no money
policy,"course of action proposed by an organization, etc."
envelope,cover for a letter or card
roof,cover or top of something
wet,covered or soaked with a liquid; not dry
bloody,covered or spotted with blood on the surface
offense,criminal act; something that causes hurt
festival,cultural event with a program of events
credit,system to buy something and pay for it later
hook,curved or bent tool
crisis,unstable situation of extreme danger or difficulty
critical,being important or serious; vital; dangerous
destruction,damaging something so badly that it no longer exists
coal,dark hard substance from the earth burnt as a fuel
cross,to meet at one point
crowd,large group of people together in one place
pot,"deep, round container that is used for cooking"
cry,to produce tears and sounds because of pain
culture,beliefs and customs of a particular group
cup,small round container used to hold liquids for drinking
profile,description listing the basic information about a person or group
current,happening or being in the present time
currently,happening or being in the present time
reliable,"deserving of your trust, dependable"
architecture,design and construction of buildings
customer,someone who buys goods or services from a business
cut,to use a knife or scissors to divide or open the surface
cycle,series of regular and repeated actions
although,despite the fact that; however
daily,happening every day
damage,physical harm that is done to something
explanation,details or reasons given to make something clear
dance,to move your body rhythmically to music
danger,"possibility of getting hurt, damaged, or killed"
dangerous,involving the chance of hurt or damage; risky
criteria,details used to make a decision
dark,having little or no light; not light in color
filter,device to remove unwanted substances from a liquid or gas
data,facts or information used to calculate or analyze
unusual,different from what is ordinary or normal in a way that attracts attention; not usual
date,a day in the calendar such as January 3rd
daughter,a female child of someone
hard,"difficult to bend, break or cut; solid"
dead,not alive
pollution,dirty or dangerous waste released into an environment
dear,loved or valued very much
death,when someone dies; the end of life
debate,general public discussion of a topic
decade,period of 10 years
mess,dirty or untidy area
decision,a choice you make about something after thinking about it
depth,distance below a surface
decline,to not accept an invitation or offer; refuse
deep,going far down from the surface
height,distance of something from the bottom to the top
phase,distinct part or step in a process
defense,process of protecting something from attack
injure,do physical harm or damage
define,to explain the meaning of words
definitely,without question; beyond doubt
definition,"explanation of word's meaning, as in dictionaries"
degree,unit for measuring temperature or angles
deliver,to take something to a person or place
delivery,act of taking something to a person or place
demand,to strongly request someone to do something; insist
helpful,doing things that help someone
universal,done or experienced by everyone
voluntary,done or given by their own will and not forced to do
violent,done with force; likely to cause physical damage
deny,to refuse to allow or accept something
department,division of a larger part or organization
depend,"to need (someone or something) for support, help, etc."
immediate,done without delay; straight away
chart,drawing showing information in a clear way
alcohol,"drinks such as wine, whiskey, beer"
fall,dropping from a standing position to the ground
describe,"to tell someone the appearance, sound or smell of something"
description,something that tells you what something is like or looks like
while,during the time that; at the same time
whilst,during the time that; at the same time
design,to plan in a particular way to fulfill a purpose
sensitive,easily hurt or damaged
desk,a piece of furniture like a table often with drawers
despite,without being affected by something; in spite of
visible,easily seen or understood
detail,small part of something; tiny fact
soft,"easy to press, bend or cut; not hard or firm"
apparent,easy to see or clearly understand
determine,to control exactly how something will be or act
clear,easy to understand; well-explained; obvious
potato,edible vegetable
device,"object, machine, or equipment for a specific use"
impression,effect or feeling resulting from an experience
mood,emotion or a state of mind; how you feel
die,to stop living
electricity,energy generated positive and negative charges
adequate,enough; good enough for what is needed
difference,not of the same kind; unlike other things
enough,equal to what is needed; as much as required
each,every one of two or more things
difficult,hard; not easy; you need to work hard to do it
difficulty,something that is hard to do
everywhere,every place
test,examination; questions to measure knowledge
case,example or instance of something
dinner,"main meal of the day, usually in the evening in the us"
direct,to tell someone to do something in a straight-talking way
directly,in a frank and honest way
director,senior person who manages part of an organization
good,excellent; high quality
stimulate,excite to action
numerous,existing in large numbers
distant,existing or happening far away in space
silver,"expensive, near white color metal (symbol Ag)"
veteran,experienced through long service or practice
consultant,expert who gives (paid) advice
discover,to find something new that was not known before
reason,explanation for why something occurred or was done
discuss,to talk about something seriously or in great detail
discussion,any long communication about some particular topic
disease,"illness that affects a person, animal, or plant"
demonstration,explanation of how something works
extension,extra time allowed to complete something
further,extra; in addition
giant,"extremely big, or much bigger than other things"
display,to put so they can be seen or be bought
crucial,extremely important
distance,amount of space between two places or things
remote,far away
sheep,farm animal kept for meat and wool
pig,farm animal that gives bacon and ham
dad,father
district,"area of a country, city, or town"
anxiety,fear about what might happen; worry
motivation,feeling in a person that makes him or her want to do something
divide,to separate something into equal pieces
tension,feeling of anxiety and inability to relax
joy,feeling of great happiness and pleasure
document,official (printed) record that gives information
dog,small 4-legged animal that barks kept as a pet
dollar,a basic unit of money equal to 100 cent
friendship,feeling of liking someone; good relationship
door,you walk through this when you go in a room
double,two times the amount or degree; twice
doubt,not being sure of something; lack of certainty
hunger,feeling of needing to eat food
concern,feeling of worry or anxiety
grateful,feeling or showing thanks; thankful
ashamed,feeling shame or guilt because you did something wrong
confident,feeling that you can do well at something
uncertainty,feeling that you don't really know what will happen
draw,to create an image using pen or pencil and paper
dream,"images, thoughts, and feelings that are experienced during sleep"
dress,women's garment with a top part and a skirt
drink,to put water in your body through your mouth
sad,feeling unhappy; wishing something hadn't happened
driver,someone who operates a vehicle
drop,to let something fall from your hand
drug,chemical used as a medicine
dry,without water; not wet
due,when something is required or expected
she,female person or animal mentioned before
ultimately,"finally, after doing other things"
duty,work required by your job or position
dust,fine dry powder that builds up on surfaces
solid,firm or hard; not a gas or liquid
steady,"firmly fixed, supported, or balanced; not shaking, rocking, or likely to fall over"
earn,to get money for work
earth,planet we live on
start,first time or place that a thing exists; beginning
easily,without difficulty
term,fixed period of weeks for learning at school
shelf,flat board attached to a wall on which to store things
easy,not hard to do; not difficult
eat,to put food in your mouth
economic,"having to do with trade, industry, and money"
edge,boundary of a surface
conventional,following the common attitudes and practices
fruit,food that grows on a tree or bush
boot,footwear covering your foot and part of your leg
education,process of giving or receiving teaching
because,for a reason
forever,for a very long or seemingly endless time
effective,working efficiently to produce a desired result
per,for each; during each
so,for that reason
why,for what reason or purpose
effort,amount of work used trying to do something
egg,hard-shelled thing from which a young bird is born
sir,form of address to a man you respect
format,"form, design, or arrangement of something"
election,process of choosing someone by voting
lucky,fortunate; having good things happen to you
hence,"from now, later than the present time"
through,from one end or side of something to the other end or side
element,essential or particular part of something
across,from one side to the other of something
else,otherwise; if you fail to...
since,from the time in the past that
e-mail,"a system for sending messages electronically, especially from one computer to another using the internet"
face,"front part of the head where eyes, nose, and mouth are"
tennis,game played by hitting a ball over a net
emerge,to rise or appear out of some background
golf,game played to hit a ball into a hole with a stick
preparation,getting ready for something
present,gift
sale,giving something for money; the amount sold
down,going from a higher position to a lower position
employ,to pay a person to work for you; to give a job to
employee,person who works for someone else for payment
into,going inside something
alright,good; acceptable
empty,containing nothing; with no contents
enable,to make it possible to do something
honest,good; always telling the truth and not stealing
encourage,to make someone more determined or confident
sand,grains of rock that make beaches and deserts
more,"greater in amount, number, or size"
energy,physical or mental strength
engage,"to carry out, participate in; be involved in"
tall,greater in height than average
enjoy,to take pleasure in something
empire,group of countries controlled by one government
tune,group of musical notes that make a nice sound
ensure,"to make something sure, certain, or safe"
enter,to go into a room
government,group of people and system which rule a nation
jury,group of people who listen to information about something and make a decision
personnel,group of people who work for a company
entire,complete or full; with no part left out; whole
bunch,group of things of the same kind
pile,group of things one on top of another
type,group of things or people sharing common features
environment,natural world in which plants and animals live
environmental,of the natural world in which plants and animals live
sort,group or class of similar things or people
equal,"same in shape, size, or number"
constantly,happening a lot or all the time
subsequent,happening after
equipment,tools or materials used to perform a task
constant,happening frequently or without pause
error,something that is not correct; a mistake
especially,more than usual; extremely
briefly,happening in a short period of time; using few words
essential,extremely important and necessary
establish,to set or create something to last for a long time
still,happening in the past and continuing into the present
late,happening near the end of a given time
frequent,happening often
weekly,happening once a week
evening,last part of the day and early part of the night
event,something that happens
eventually,finally
prior,happening or coming earlier in time
sudden,happening or done quickly or unexpectedly
everybody,every person; everyone
routine,happening or done regularly or frequently
everyone,every person; everybody
everything,all of the things mentioned
early,happening sooner than expected
evidence,factual proof that helps to establish the truth
rapid,happening very quickly
continuous,happening without stops
satisfaction,happy feeling because of something that you did
exactly,no more and no less than; precisely
shell,hard outer covering that protects
bone,hard pieces of a body that form the frame of an animal
concrete,"hard substance used in building made by mixing cement, sand, small stones, and water"
excellent,extremely good
except,not including; other than
tooth,hard white thing in the mouth used for biting and eating
important,"having a big effect on (person, the future)"
exchange,to give things of similar value to each other
possible,"having a chance of happening, or being true"
brilliant,having a great amount of intelligence or talent
wealthy,having a great amount of money or property
executive,a senior manager in a business or organization
exercise,to work out to become stronger and healthier
employment,having a job; work done for money
exist,"to be present, alive or real"
expand,to become bigger or larger in size and amount
thick,having a large distance between two surfaces
sick,having a physical or mental illness; not feeling well
angry,having a strong feeling about something that you dislike very much
expensive,costing a lot of money
nervous,having a tendency to become uneasy or anxious
experiment,test performed to assess new ideas or theories
sharp,having a thin edge or point that is able to cut
expert,skillful person with special knowledge
explain,to make clear or easy to understand by describing
sufficient,having as much as is needed for a particular purpose
export,to send goods to be sold in another country
guilty,having done something bad or illegal
old,"having existed for a long time, not young or new"
express,to state or show what you think or how you feel
expression,act of making your thoughts and feelings known
fortunate,having good luck
already,having happened or been done before this time
extent,range or space included in something
awareness,having knowledge of something
extra,more than necessary; additional
weak,having little power; not strong; easy to break
sure,having no doubts about something
extremely,in a way that is much more than usual or expected
possession,having or owning something
variable,having the ability to change or vary
facility,piece of equipment or buildings with a special use
creative,having the ability to make something new
factor,something that influences a result
factory,building where things are made
independence,having the freedom to make your own decisions
fail,"to not achieve a goal, or to go wrong"
failure,act or result of not achieving your goals
fair,treating all people the same way
able,"having the power, skill, knowledge, or money to do something"
regional,having to do with a particular area
psychological,having to do with the mind
mayor,head of a city's government
familiar,well-known or easily recognized
tight,held together firmly; difficult to move
famous,widely known; recognized by many people
fan,thing you wave in front of your face to stay cool
upper,higher than others of the same kind
top,highest or upper part or point of something
frequency,how often something happens
farm,land used for growing crops or raising animals
way,how something is done
fashion,style of dress or activity popular at some time
fast,moving or able to move quickly
enormous,huge; very big; very large
father,a male parent
people,human beings in general; plural of person
favor,helpful act of kindness
favorite,most liked; best loved
feature,distinctive or important point of something
federal,system of government
fee,amount of money paid for a particular service
notion,idea or opinion about doing something
female,person of the sex that gives birth to babies
hypothesis,idea that leads to further study or discussion
same,identical; not different
whether,if something will happen or not
reflection,"image that you see in a mirror, glass, or water"
field,"open area of land, especially without buildings"
fight,act of trying to hurt someone by hitting them
next,immediately after the previous one
fill,to make something full
film,movie
significance,importance of something; the potential for something to have a big effect
final,being the last thing in a series
finally,after a long time or some difficulty
finance,control of money a person/business has access to
financial,involving money
issue,"important topic discussed, debated, or argued over"
fine,"good, acceptable or satisfactory"
finger,one of the five long parts of the hand
finish,end of something; completion
fire,heat and the flame produced when burning
firm,"fairly hard or solid, not soft"
properly,in a correct or suitable way depending on the situation
reasonably,in a fair and just manner
perfectly,in a faultless manner; without mistakes
fish,animal that swims and lives in the sea
fit,proper or acceptable; morally or socially correct
fix,to make something whole or able to work again
stable,in a good situation or condition; not likely to change
well,in a good way
flat,level; even; without curves or bumps
firmly,"in a hard, steady, unchanging way"
flight,act of flying
successfully,in a manner that achieves a goal
floor,part of a room on which you stand
flow,to move steadily and easily in a certain direction
fly,to travel through the air using wings
focus,main purpose or center of interest or activity
hopefully,in a manner wishing something to happen
gently,"in a mild, careful, and soft manner"
typically,in a normal or usual way
dramatically,in a sudden or extreme manner
faithfully,in a trustworthy manner
foot,lowest part of the leg we use to stand on
football,sport where 2 teams try to kick a ball in a goal; soccer
automatically,in a way not requiring control by a person
literally,in a way that expresses the exact meaning of something
foreign,being of a different place or country
forest,large area with many trees
significantly,in a way that is important or noticeable
forget,to not remember something
somehow,in a way that is not known or certain
differently,in a way that is not the same
effectively,in a way that produces the result you want
furthermore,in addition to what has been said
former,"being something previously, but not now"
also,in addition; too; in a similar way
equally,"in an equal, similar, or identical way"
forward,toward what is ahead or in front
precisely,in an exact and accurate manner
roughly,in an inexact or imprecise manner
rarely,in an infrequent manner
surprisingly,in an unexpected way
freedom,"state of being free, not being controlled"
wherever,in any situation or at any time that
against,in opposition to; disagreeing with
southern,in or from the south
abroad,in or to a foreign country
fresh,newly made or gathered
overseas,in or to a foreign country that is across a sea
friendly,acting like a friend; kind and helpful
elsewhere,in or to another or different place
northern,in or toward the north
front,opposite of back; the forward part of an object
partly,in part; not completely
there,"in that place or position, at that location"
among,in the center of some things; in relation to several things
full,containing or holding as much as possible
fully,completely or entirely
fun,amusing and enjoyable
function,what something is intended to be used for; purpose
primarily,in the most basic or important way
fund,to supply money for something
respectively,in the order people or things were mentioned
funny,causing laughter; amusing
at,in the place where something is
under,"in the same place as another thing, but lower"
least,in the smallest or lowest way
between,in the space that separates two objects
how,in what way something happens or is done
anywhere,"in, at, or to any place; used in questions, with 'not'"
garden,yard; ground outside your house to grow plants
gas,"elements in our air, like oxygen or nitrogen"
every,including each person or thing in a group
gather,to bring people/animals together into a group
grand,including many things; very large
comprehensive,including most or all things
instruction,information about how to do or use something
database,information stored in a computer in an organized way
general,"widespread, normal or usual"
generate,to create or be produced or bring into existence
generation,people born and living at about the same time
hint,information that helps you understand or do something more easily
proof,information which shows that something is true or correct
interior,inside part of something
sake,interest or benefit of someone or something
remarkable,"interesting and unexpected, worthy of notice"
attraction,interesting place people want to visit
gift,something given to another for a reason; present
girl,a female child
if,introducing a condition for something to happen
glad,happy that something happened; pleased
intervention,involvement in a situation to prevent future problems
glass,hard transparent material used for making windows
global,"concerning, affecting, or involving the entire world"
social,involving activities among people especially free time activities
goal,something you try to do or achieve; an aim
theoretical,involving the uncertain or yet to be proved parts of a particular subject
gold,soft yellow metal that is very valuable
product,item that can be bought
furniture,"items such as tables, chairs, beds, or closets"
profession,job requiring special education or skills
evaluation,judgment about the value or condition of something
only,just one; just that amount or thing; not more than
maintenance,keeping (a machine) working by checking and fixing it
spare,kept as something extra that can be used if it is needed
grade,level of study that is completed by a student
piano,keyboard instrument used for playing music
gentle,kind and quiet in nature; not harsh or violent
experience,"knowledge gained by living life, doing new things"
wise,knowledgeable about life; having good judgment
silly,lacking seriousness or foolish
grant,to give or let someone do what they want
stupid,lacking the ability to learn easily; not intelligent
shore,land along the edge of an area of water
coast,land near the sea or ocean
estate,land that a person owns
big,large
green,color of young leaves
wealth,large amount of money and possessions
ocean,large body of salt water that covers most of the surface of the earth
ground,solid surface of the earth that we stand on
long,large distance from one end to the other
cow,large farm animal from which we get milk and beef
growth,act of growing
guarantee,to make a formal promise that something will happen or be done.
guess,to give an answer without knowing if it is correct
guest,person invited to visit or stay in someone's home
guide,to lead people visiting a new or unknown place
substantial,"large in amount, quantity, or size"
considerable,"large in size, amount, or effect"
guy,informal man; boy; any person
hair,long thin strands on your head or body
extensive,large; full or complete
maximum,largest or greatest
handle,to have the ability to cope with or take responsibility for
permanent,lasting forever; not temporary or changing
after,"later than another time, or behind something"
happy,feeling pleasure or joy; glad
discovery,learning something for the first time
divorce,legal ending of a marriage
hardly,clearly or undoubtedly not; very little
power,legal or official right to perform certain actions
ownership,legal right to have something belong to you
hate,to have a very strong feeling of dislike for
secondary,less important than something else
pale,light in color
comedy,"light or funny play or film, usually with a happy ending"
health,being in a good condition; being well
healthy,in good condition physically (or financially); not ill or bad
probably,likely to happen or be true
heart,part of the body that pumps blood
heat,to make hot or hotter
medicine,liquid or pills used to treat illness or pain; the study of treating illness or pain
heavy,having a lot of weight
menu,list of dishes available at a restaurant
catalog,list of items that are available for purchase
small,little in size; not big
somewhat,"little, not very"
alive,living; not dead
around,"located on every side, or along something"
knife,long piece of metal you use for cutting things
herself,female person that did the original action
nerve,long thin cells in the body that makes feeling and movement possible
tube,"long, hollow object"
hide,to put a thing where it can't be found; go where you won't be found
valley,"long, low area between hills or mountains, often with a river running through it"
highly,more than usual; to a great degree
rail,"long, thin piece of metal"
himself,the same (male) person who did the action
mortgage,long-term loan from a bank for buying property
tender,loving and gentle
minimum,lowest number or amount that is possible
printer,machine that makes copies of papers and documents
hit,"to fight, attack or damage something or someone"
golden,"made of valuable, heavy, yellow metal"
wooden,made of wood
hole,opening into or through something
holiday,day when people don't go to work or school
prime,main; most important; best quality
implementation,"making a law, system, or plan start to happen or be used"
loud,making a lot of noise
quietly,making little sound
reduction,making something smaller; reducing something
attractive,"making you like them, as by being good-looking"
person,"man, woman, or child"
horse,large animal with 4 legs used for riding
hospital,"building for sick people, with doctors and nurses"
hot,having a high temperature
multiple,many things or people
often,"many times, frequently, on many occasions"
fuel,material used to produce heat or power when burned
huge,very very large
human,"a person; a man, woman or child"
capability,"means, ability, or potential to do something"
dimension,"measurement of length, width, or height"
surgery,medical treatment in which a doctor cuts into a body
husband,married man
letter,message you put in an envelope and send by post
salary,money an employee is paid each year
compensation,money given or received as payment for loss
identify,to indicate who or what someone or something is
deposit,"money that is given for a special purpose such as proof that you will buy something, or as savings in a bank"
ignore,"to not listen to, look at, or pay attention to"
evil,morally bad; causing harm to someone
increasingly,more and more; in greater degree or amount
several,more than two but not many
mom,mother
grandmother,mother of your mother or father
up,move higher; raise
immediately,without any delay; straight away; right (after or before)
to,move towards; in the direction of
promotion,moving someone to a more important position
very,much; great in amount
strict,must be obeyed
salt,natural white substance used to flavor or preserve food
together,near close in the same place not far in a family or group
importance,being important; having a big effect on
by,near; with
impossible,very unlikely to happen or exist
most,nearly all of something
vital,necessary
thirst,need for something to drink
improve,"to make, or become, something better"
improvement,addition or change that makes something better
innovation,new invention or idea that is created
close,next to; only a short distance away
anymore,no longer; no more
silence,no sound or noise
illegal,not allowed by the laws or rules
nothing,"not anything, not a single thing"
unable,not being able to do something
indeed,actually; in fact; in reality
unlikely,not being likely to happen or not likely to be the truth
independent,making your own decisions; not controlled by others
crazy,not being sensible or practical
within,"not beyond the limits of a particular space, time, or range"
individual,"single person, looked at separately from others"
industry,factories or businesses that make certain products
dirty,not clean
open,not closed or shut
rare,not common or usual
influence,to affect what happens; change something (indirectly)
inform,to give information or facts about something
never,not ever; not at any time
initial,existing or occurring at the beginning
unknown,not familiar or famous
nearby,not far away
bad,not good; wrong
little,"not great in size, amount, or degree; small"
innocent,not having done anything wrong or bad
light,not heavy; weighing only a little
away,not here; far from here; in a different direction
low,"not high; being near the ground, or bottom"
inside,being in something
badly,not in a good way; not as wanted or liked
nowhere,not in or at any place; no place
confusion,not knowing what to do
instance,an example of something; case
instead,when one thing is replaced by another
institution,organization created for a particular cause or purpose
lazy,not liking to work or make an effort
few,not many; small in number
insurance,payments to cover potential loss/damage/injury/death
pure,not mixed with anything else
different,not of the same kind; unlike other things
new,"not old, recently born, built, or made"
intend,to plan or want to do something
fancy,"not plain or ordinary, expensive"
false,not real or true
rough,"not smooth, gentle, or careful"
minor,"not so large in size, not important or valuable"
internal,within or inside
international,"done or relating to several countries, not just your own"
silent,not speaking or making noise
ordinary,"not special, different, or unusual"
thin,not thick; not wide in size
interview,to formally ask questions about a given topic
loose,not tightly attached or held
introduce,to make someone known to another by name
introduction,making someone known to another by name
occasionally,not very often; sometimes; seldom
invest,to use resources to build for the future
investigate,to try to find out facts; to carry out research
investigation,search for information about something
investment,something purchased hoping its value will increase
ill,not well; sick
invite,to ask someone to go somewhere or do something
one,number 1
group,number of people or things gathered together
island,area of land that is surrounded by water
density,number of people or things in a particular area
age,number of years a person has lived (also of things)
item,"distinct, individual thing, often part of a group"
itself,referring to it
he,object form of a male person you are talking about
gradually,occurring in a slow manner over a period of time
join,"to bring something close to another, to become one"
monthly,occurring twelve times a year
weird,odd or unusual
about,of (a subject); concerning
democratic,of democracy; entitling the people to power
intellectual,of or relating to the ability to think in a logical way and understand complicated ideas and subjects
judge,to form an opinion after careful consideration
judgment,opinion that is made after careful consideration
jump,to push your body into the air with your legs
brown,"of the color of coffee, wood, or chocolate"
qualification,official record proving a certain standard or level
frequently,often; regularly
fat,oily part of meat
right,on side where the hand that most people write with
today,on this day; at the time that is happening now
key,something you use to open a lock or start a car
kid,informal child or young person
kill,to end the life of a person or other living thing
a,one (of something)
any,one (thing) of many; some (thing)
kitchen,place where food is cooked
another,one more (thing); additional (thing)
again,"one more time, once more"
ski,one of a pair of long flat boards attached to boots for moving smoothly over snow
knowledge,"information, understanding, or skill"
labor,to work hard (often physically) for many hours
planet,one of the bodies that orbit the sun
lack,"to not have, or not have enough, of something"
land,the earth; the ground
either,one of two (used when there is a choice of two)
once,one time; one instance
largely,in large part; mainly or chiefly
kind,one type of thing
laugh,to make a happy sound when something is funny
almost,"only a little less than, nearly, not quite"
launch,to put a rocket into the air; put a ship into the water
law,system or rules made by the government
lay,to put or set something down in a flat position
merely,"only, simply, or nothing more than"
just,only; a short time ago
liberal,open to new ideas; believing government should actively support social needs
leader,person who is in charge of a group or task
leadership,quality of being able to guide or influence others
electronic,operating by use of electricity; digital
folk,ordinary people
civilian,ordinary person who is not in the army
charity,"organization providing help to the needy, the sick"
supplier,organization that provides a product or service
establishment,"organization, institution, or place to do business"
base,origin or start from which something came
left,side of your body your heart is on
leg,part of the body from the thigh down
legal,concerning the law; allowed by law
besides,other than or in addition to
forth,"out of a place; forward in time, place, or way"
length,measurement of distance or of time
yard,outdoor area or garden next to a house
external,outside of something
panic,overwhelming feeling of fear and anxiety
portrait,"painting, drawing, or photograph of a person's head and shoulders"
pink,pale red color
library,place where books and other media are kept
lie,to say something that you know is not true
lift,to move something to higher position
segment,part divided from the other parts of something
share,"part of a company you own, shown by a certificate"
likely,referring to the chance that something will actually happen
limit,point beyond which it is not possible to go
portion,part of a whole
link,to join or connect together
wing,part of an animal's body that is used for flying
list,"series of written names, words or numbers"
listen,to use your ears to hear and understand things
mind,part of humans that allows us to think or feel
neck,part of the body joining the head and the body
eye,part of the body that you see with
literature,"writings that are valued as works of art, esp. fiction, drama and poetry"
nose,part of the face used for breathing and smelling
tongue,part of the mouth that tastes food and is used for speaking
load,"large, often heavy, amount of something to be moved"
module,part or unit with a specific job
location,particular position or area
fragment,part that is broken off of something
emphasis,particular importance to the way something is said
ideal,perfect; most suitable; best possible
week,"period of seven days, starts on Sunday and end on Saturday"
gay,person attracted to someone of the same sex
immigrant,person moving to another country to live there
loss,experience or state of failing to have or keep
hero,person of great courage and strength who saves others
peer,"person of the same age, class, or background as another"
lovely,attractive or beautiful
employer,person or firm that pays people to work for them
member,person or thing belonging to a group or team
substitute,person or thing that takes the place of something
you,person someone is speaking or writing to
lunch,light meal eaten in the middle of the day
student,person studying at school
machine,piece of equipment used to do work
athlete,person trained to compete in sports
magazine,weekly or monthly publication with pictures and stories
champion,person who fights for or supports strongly
main,most important; most often used
mainly,mostly; usually; being the largest part
maintain,"to keep, exist or continue without changing"
governor,person who leads a state or province
major,"important, serious, or large in scope"
majority,amount that is more than half of a group
holder,person who owns or has received something
specialist,person who works in one specific area of a field or profession
male,characteristic of boys or men
poet,person who writes poems
manage,to run or operate a business by directing others
management,people who are in control of a business or group
manager,person who controls and runs a business or group
manner,that way that something happens or is done
manufacture,to produce large numbers of products in a factory
friend,person who you like and enjoy being with
map,picture showing the geography of an area
maker,"person, company, or object that creates things"
mark,to make or leave a visible sign on something; a writing symbol
this,"person, thing, or idea near you"
marriage,formal relationship between a husband and a wife
marry,to become the husband or wife of someone
