Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U)
duty,1262,58.38,69
strength,1263,58.37,69
connect,1264,58.36,69
cultural,1265,58.36,69
arrange,1266,58.35,68
scheme,1267,58.35,68
payment,1268,58.34,68
unfortunately,1269,58.34,68
brief,1270,58.34,68
bird,1271,58.33,68
demonstrate,1272,58.33,68
contribution,1273,58.33,68
appreciate,1274,58.32,68
chapter,1275,58.32,68
secret,1276,58.32,68
apparently,1277,58.32,68
novel,1278,58.32,68
union,1279,58.31,68
burn,1280,58.31,68
trend,1281,58.31,68
initial,1282,58.31,68
pleasure,1283,58.3,68
suggestion,1284,58.3,68
critical,1285,58.29,67
gather,1286,58.29,67
mostly,1287,58.29,67
earth,1288,58.29,67
pop,1289,58.28,67
essential,1290,58.27,67
desire,1291,58.27,67
promote,1292,58.27,67
currently,1293,58.27,67
employ,1294,58.26,67
path,1295,58.26,67
topic,1296,58.26,67
beach,1297,58.25,67
attract,1298,58.25,67
engage,1299,58.25,67
powerful,1300,58.24,67
flower,1301,58.24,67
crisis,1302,58.24,67
settle,1303,58.23,67
boat,1304,58.23,66
aid,1305,58.23,66
fan,1306,58.23,66
kitchen,1307,58.23,66
twice,1308,58.22,66
fresh,1309,58.22,66
delay,1310,58.22,66
safety,1311,58.22,66
engineer,1312,58.22,66
quiet,1313,58.21,66
insurance,1314,58.21,66
nurse,1315,58.21,66
divide,1316,58.2,66
length,1317,58.2,66
investigation,1318,58.19,66
package,1319,58.19,66
somewhere,1320,58.19,66
expand,1321,58.18,66
commit,1322,58.18,66
obvious,1323,58.18,66
jump,1324,58.16,65
weapon,1325,58.16,65
relatively,1326,58.15,65
host,1327,58.15,65
winter,1328,58.15,65
district,1329,58.15,65
broad,1330,58.14,65
tire,1331,58.12,65
spring,1332,58.11,65
spirit,1333,58.09,64
lunch,1334,58.09,64
actual,1335,58.08,64
pool,1336,58.08,64
battle,1337,58.08,64
tradition,1338,58.08,64
cash,1339,58.07,64
hardly,1340,58.06,64
award,1341,58.06,64
coach,1342,58.06,64
experiment,1343,58.06,64
consideration,1344,58.06,64
strange,1345,58.06,64
code,1346,58.06,64
possibly,1347,58.04,64
threat,1348,58.04,64
accident,1349,58.04,64
impossible,1350,58.04,64
revenue,1351,58.04,64
enable,1352,58.04,64
afraid,1353,58.03,63
active,1354,58.03,63
conclude,1355,58.02,63
religious,1356,58.01,63
cancer,1357,58.01,63
convince,1358,58.01,63
vary,1359,58.01,63
environmental,1360,58,63
sun,1361,58,63
healthy,1362,57.99,63
blow,1363,57.98,63
volume,1364,57.97,63
location,1365,57.97,63
invest,1366,57.97,63
proceed,1367,57.97,63
wash,1368,57.97,63
actor,1369,57.96,63
glad,1370,57.96,63
tape,1371,57.96,62
whereas,1372,57.96,62
opposite,1373,57.95,62
stone,1374,57.95,62
sum,1375,57.95,62
murder,1376,57.95,62
monitor,1377,57.94,62
soldier,1378,57.94,62
finance,1379,57.94,62
hate,1380,57.93,62
egg,1381,57.93,62
concert,1382,57.92,62
shock,1383,57.92,62
comfortable,1384,57.92,62
usual,1385,57.92,62
carefully,1386,57.91,62
pack,1387,57.91,62
recall,1388,57.91,62
wine,1389,57.9,62
camera,1390,57.9,62
swim,1391,57.9,62
manufacture,1392,57.9,62
theater,1393,57.89,61
cycle,1394,57.88,61
coffee,1395,57.87,61
totally,1396,57.87,61
museum,1397,57.87,61
visitor,1398,57.87,61
freedom,1399,57.86,61
construction,1400,57.86,61
dear,1401,57.86,61
objective,1402,57.84,61
moreover,1403,57.84,61
onto,1404,57.84,61
historical,1405,57.83,61
oppose,1406,57.83,61
branch,1407,57.82,61
vehicle,1408,57.82,61
scientist,1409,57.82,60
route,1410,57.81,60
bind,1411,57.8,60
belong,1412,57.8,60
taste,1413,57.8,60
tonight,1414,57.79,60
fashion,1415,57.79,60
danger,1416,57.79,60
bomb,1417,57.79,60
army,1418,57.79,60
dangerous,1419,57.77,60
decrease,1420,57.76,60
hurt,1421,57.76,60
council,1422,57.75,60
editor,1423,57.74,59
normally,1424,57.74,59
sight,1425,57.74,59
generate,1426,57.73,59
gift,1427,57.73,59
delivery,1428,57.72,59
deny,1429,57.72,59
guest,1430,57.72,59
anybody,1431,57.71,59
bedroom,1432,57.71,59
quote,1433,57.71,59
climb,1434,57.7,59
basically,1435,57.7,59
violence,1436,57.69,59
minister,1437,57.69,59
mainly,1438,57.68,59
mouth,1439,57.68,59
noise,1440,57.68,59
manner,1441,57.67,59
gun,1442,57.67,58
square,1443,57.67,58
occasion,1444,57.65,58
familiar,1445,57.64,58
ignore,1446,57.64,58
destroy,1447,57.64,58
affair,1448,57.63,58
civil,1449,57.62,58
locate,1450,57.62,58
citizen,1451,57.62,58
temperature,1452,57.61,58
gold,1453,57.61,58
domestic,1454,57.57,57
load,1455,57.57,57
belief,1456,57.57,57
troop,1457,57.57,57
technical,1458,57.56,57
remind,1459,57.56,57
arrangement,1460,57.56,57
skin,1461,57.55,57
prison,1462,57.55,57
switch,1463,57.55,57
acquire,1464,57.54,57
corporate,1465,57.53,57
fairly,1466,57.53,57
wood,1467,57.53,57
participate,1468,57.53,57
tough,1469,57.53,57
tear,1470,57.52,57
representative,1471,57.52,57
capacity,1472,57.52,57
border,1473,57.51,56
shake,1474,57.51,56
assessment,1475,57.51,56
shoe,1476,57.51,56
ought,1477,57.5,56
ad,1478,57.5,56
fee,1479,57.49,56
hall,1480,57.49,56
regulation,1481,57.48,56
escape,1482,57.48,56
studio,1483,57.48,56
proper,1484,57.47,56
relax,1485,57.47,56
tourist,1486,57.47,56
component,1487,57.47,56
afford,1488,57.46,56
lawyer,1489,57.46,56
suspect,1490,57.45,56
cup,1491,57.45,56
description,1492,57.45,56
confidence,1493,57.44,55
industrial,1494,57.42,55
complain,1495,57.42,55
perspective,1496,57.42,55
error,1497,57.42,55
arrest,1498,57.42,55
assess,1499,57.41,55
register,1500,57.4,55
asset,1501,57.4,55
signal,1502,57.39,55
finger,1503,57.38,55
relevant,1504,57.38,55
explore,1505,57.37,55
leadership,1506,57.37,55
commitment,1507,57.36,54
wake,1508,57.36,54
necessarily,1509,57.35,54
bright,1510,57.34,54
frame,1511,57.34,54
slowly,1512,57.34,54
bond,1513,57.34,54
hire,1514,57.34,54
hole,1515,57.33,54
tie,1516,57.33,54
internal,1517,57.33,54
chain,1518,57.32,54
literature,1519,57.29,54
victim,1520,57.29,54
threaten,1521,57.28,53
division,1522,57.28,53
secure,1523,57.27,53
amaze,1524,57.27,53
device,1525,57.26,53
birth,1526,57.26,53
forest,1527,57.26,53
label,1528,57.26,53
root,1529,57.26,53
factory,1530,57.25,53
expense,1531,57.25,53
channel,1532,57.25,53
investigate,1533,57.25,53
recommendation,1534,57.24,53
rank,1535,57.23,53
typical,1536,57.23,53
west,1537,57.23,53
friendly,1538,57.23,53
resident,1539,57.23,53
provision,1540,57.23,53
concentrate,1541,57.22,53
plenty,1542,57.22,53
export,1543,57.21,53
entirely,1544,57.21,53
strongly,1545,57.21,53
bridge,1546,57.2,53
consist,1547,57.2,52
graduate,1548,57.2,52
brand,1549,57.19,52
moral,1550,57.18,52
insist,1551,57.17,52
combination,1552,57.17,52
abuse,1553,57.17,52
ice,1554,57.16,52
principal,1555,57.16,52
master,1556,57.16,52
definitely,1557,57.16,52
session,1558,57.16,52
grade,1559,57.16,52
nevertheless,1560,57.16,52
predict,1561,57.15,52
previously,1562,57.14,52
protection,1563,57.14,52
largely,1564,57.14,52
wed,1565,57.13,52
rent,1566,57.13,52
shot,1567,57.12,52
appearance,1568,57.12,52
reasonable,1569,57.12,52
guarantee,1570,57.12,52
till,1571,57.12,52
theme,1572,57.11,51
judgment,1573,57.11,51
odd,1574,57.11,51
approve,1575,57.1,51
loan,1576,57.1,51
definition,1577,57.1,51
elect,1578,57.09,51
atmosphere,1579,57.08,51
farmer,1580,57.08,51
comparison,1581,57.07,51
characteristic,1582,57.07,51
license,1583,57.07,51
rely,1584,57.07,51
narrow,1585,57.07,51
succeed,1586,57.06,51
identity,1587,57.06,51
desk,1588,57.05,51
permit,1589,57.04,51
seriously,1590,57.04,51
wild,1591,57.03,51
empty,1592,57.03,50
commission,1593,57.02,50
unique,1594,57.02,50
association,1595,57.01,50
instrument,1596,57.01,50
investor,1597,57.01,50
practical,1598,57.01,50
tea,1599,57,50
lovely,1600,56.99,50
soft,1601,56.99,50
row,1602,56.99,50
youth,1603,56.99,50
lock,1604,56.98,50
fuel,1605,56.98,50
expectation,1606,56.98,50
employment,1607,56.98,50
celebrate,1608,56.97,50
sexual,1609,56.97,50
shoulder,1610,56.96,50
breath,1611,56.96,50
increasingly,1612,56.96,50
import,1613,56.95,50
bottle,1614,56.95,50
ourselves,1615,56.95,49
sheet,1616,56.94,49
engine,1617,56.94,49
cast,1618,56.93,49
notion,1619,56.93,49
conservative,1620,56.93,49
journey,1621,56.92,49
opposition,1622,56.92,49
relief,1623,56.92,49
debt,1624,56.92,49
honor,1625,56.91,49
outcome,1626,56.89,49
blame,1627,56.89,49
explanation,1628,56.89,49
arise,1629,56.89,49
musical,1630,56.88,49
recover,1631,56.87,49
dad,1632,56.87,49
stretch,1633,56.87,49
declare,1634,56.86,49
retire,1635,56.86,48
tiny,1636,56.85,48
careful,1637,56.84,48
suitable,1638,56.84,48
native,1639,56.84,48
fruit,1640,56.84,48
analyze,1641,56.83,48
witness,1642,56.83,48
mail,1643,56.83,48
terrible,1644,56.83,48
researcher,1645,56.82,48
ordinary,1646,56.8,48
selection,1647,56.78,48
anywhere,1648,56.78,48
mental,1649,56.78,48
participant,1650,56.77,48
vision,1651,56.76,47
personality,1652,56.76,47
specifically,1653,56.76,47
fat,1654,56.75,47
entry,1655,56.75,47
fellow,1656,56.75,47
chemical,1657,56.75,47
capture,1658,56.75,47
tip,1659,56.74,47
discount,1660,56.74,47
peak,1661,56.74,47
chairman,1662,56.73,47
proportion,1663,56.73,47
ear,1664,56.72,47
disappear,1665,56.71,47
shout,1666,56.71,47
yard,1667,56.71,47
constant,1668,56.71,47
significantly,1669,56.69,47
hill,1670,56.67,46
considerable,1671,56.67,46
instruction,1672,56.67,46
intelligence,1673,56.67,46
ideal,1674,56.66,46
folk,1675,56.66,46
surely,1676,56.66,46
guard,1677,56.66,46
cat,1678,56.65,46
somewhat,1679,56.65,46
kiss,1680,56.64,46
presentation,1681,56.64,46
joint,1682,56.64,46
compete,1683,56.64,46
poll,1684,56.64,46
weak,1685,56.63,46
faith,1686,56.63,46
reduction,1687,56.62,46
reserve,1688,56.61,46
complaint,1689,56.61,46
bore,1690,56.6,46
mission,1691,56.6,46
somehow,1692,56.59,46
tone,1693,56.59,46
neighborhood,1694,56.59,46
passenger,1695,56.59,46
justice,1696,56.58,46
phase,1697,56.58,46
thin,1698,56.58,46
rush,1699,56.58,45
formal,1700,56.57,45
religion,1701,56.57,45
employer,1702,56.57,45
reject,1703,56.56,45
latter,1704,56.56,45
plate,1705,56.56,45
ban,1706,56.55,45
steal,1707,56.55,45
protest,1708,56.55,45
index,1709,56.55,45
sad,1710,56.54,45
frequently,1711,56.54,45
circle,1712,56.54,45
helpful,1713,56.53,45
command,1714,56.53,45
attractive,1715,56.52,45
sick,1716,56.52,45
impression,1717,56.51,45
unable,1718,56.51,45
joke,1719,56.51,45
sky,1720,56.51,45
column,1721,56.51,45
electronic,1722,56.51,45
impose,1723,56.5,45
criminal,1724,56.49,45
besides,1725,56.47,44
properly,1726,56.46,44
ancient,1727,56.46,44
coast,1728,56.45,44
ill,1729,56.45,44
kick,1730,56.45,44
closely,1731,56.45,44
multiple,1732,56.45,44
yield,1733,56.44,44
via,1734,56.44,44
legislation,1735,56.44,44
county,1736,56.43,44
unlike,1737,56.42,44
mobile,1738,56.42,44
assistant,1739,56.42,44
implement,1740,56.41,44
chart,1741,56.41,44
attach,1742,56.4,44
hell,1743,56.4,44
everywhere,1744,56.39,44
advise,1745,56.39,44
household,1746,56.39,44
acknowledge,1747,56.39,44
reward,1748,56.38,43
east,1749,56.38,43
hat,1750,56.38,43
academic,1751,56.37,43
voter,1752,56.37,43
meanwhile,1753,56.36,43
furthermore,1754,56.36,43
accuse,1755,56.36,43
scientific,1756,56.35,43
wage,1757,56.35,43
absence,1758,56.35,43
construct,1759,56.33,43
remark,1760,56.33,43
medicine,1761,56.33,43
professor,1762,56.33,43
rare,1763,56.33,43
intention,1764,56.33,43
dozen,1765,56.32,43
settlement,1766,56.32,43
gap,1767,56.32,43
widely,1768,56.3,43
minimum,1769,56.3,43
northern,1770,56.3,43
estate,1771,56.3,43
equally,1772,56.29,43
expose,1773,56.29,43
alive,1774,56.29,43
shut,1775,56.28,42
victory,1776,56.27,42
resolve,1777,56.27,42
critic,1778,56.27,42
variable,1779,56.26,42
enormous,1780,56.26,42
sweet,1781,56.26,42
permanent,1782,56.25,42
emotion,1783,56.25,42
pursue,1784,56.25,42
tall,1785,56.24,42
urge,1786,56.24,42
enemy,1787,56.24,42
appoint,1788,56.23,42
milk,1789,56.23,42
talent,1790,56.23,42
smell,1791,56.22,42
prior,1792,56.22,42
priority,1793,56.22,42
online,1794,56.22,42
phrase,1795,56.19,42
pilot,1796,56.19,42
stable,1797,56.19,42
merely,1798,56.18,42
resolution,1799,56.18,42
communicate,1800,56.18,42
injury,1801,56.17,41
vast,1802,56.17,41
exhibition,1803,56.17,41
producer,1804,56.17,41
regional,1805,56.17,41
immediate,1806,56.16,41
incident,1807,56.16,41
childhood,1808,56.16,41
draft,1809,56.16,41
slip,1810,56.16,41
accompany,1811,56.16,41
politician,1812,56.15,41
angry,1813,56.15,41
knock,1814,56.15,41
seed,1815,56.15,41
salary,1816,56.15,41
illustrate,1817,56.13,41
imply,1818,56.13,41
breakfast,1819,56.13,41
temporary,1820,56.12,41
liberal,1821,56.12,41
lake,1822,56.11,41
qualify,1823,56.11,41
competitive,1824,56.1,41
truly,1825,56.09,41
hi,1826,56.08,41
yellow,1827,56.08,41
habit,1828,56.08,41
disk,1829,56.08,41
core,1830,56.08,41
emotional,1831,56.08,41
aircraft,1832,56.07,40
self,1833,56.07,40
metal,1834,56.07,40
existence,1835,56.07,40
bone,1836,56.06,40
panel,1837,56.05,40
prime,1838,56.05,40
appointment,1839,56.04,40
emphasize,1840,56.03,40
maximum,1841,56.03,40
effectively,1842,56.02,40
elsewhere,1843,56.01,40
bother,1844,56.01,40
initiative,1845,56.01,40
sharp,1846,56.01,40
diet,1847,56,40
motion,1848,56,40
gray,1849,56,40
plastic,1850,56,40
complicate,1851,55.99,40
discipline,1852,55.99,40
disappoint,1853,55.99,40
boss,1854,55.98,40
assumption,1855,55.98,40
freeze,1856,55.98,40
extreme,1857,55.98,40
passage,1858,55.98,40
reputation,1859,55.98,40
forth,1860,55.98,40
negotiation,1861,55.97,40
mechanism,1862,55.96,39
coat,1863,55.96,39
democracy,1864,55.96,39
pocket,1865,55.96,39
lucky,1866,55.96,39
crash,1867,55.96,39
observation,1868,55.96,39
meat,1869,55.95,39
concentration,1870,55.95,39
implication,1871,55.95,39
deserve,1872,55.94,39
unusual,1873,55.94,39
defend,1874,55.94,39
classic,1875,55.93,39
king,1876,55.93,39
interaction,1877,55.92,39
repair,1878,55.92,39
collapse,1879,55.92,39
borrow,1880,55.92,39
fundamental,1881,55.9,39
dish,1882,55.89,39
abroad,1883,55.89,39
soul,1884,55.89,39
capable,1885,55.88,39
defeat,1886,55.88,39
presidential,1887,55.87,39
perfectly,1888,55.87,39
enhance,1889,55.87,39
proud,1890,55.87,39
emergency,1891,55.87,39
educational,1892,55.87,39
distinguish,1893,55.86,39
substantial,1894,55.86,39
nearby,1895,55.85,38
manufacturer,1896,55.85,38
slide,1897,55.85,38
valuable,1898,55.85,38
personally,1899,55.85,38
breast,1900,55.85,38
cope,1901,55.83,38
approximately,1902,55.83,38
accommodation,1903,55.83,38
highlight,1904,55.83,38
reporter,1905,55.83,38
climate,1906,55.83,38
shirt,1907,55.82,38
exception,1908,55.82,38
corporation,1909,55.82,38
chip,1910,55.81,38
winner,1911,55.81,38
encounter,1912,55.81,38
brown,1913,55.81,38
breathe,1914,55.81,38
excuse,1915,55.8,38
partly,1916,55.8,38
tennis,1917,55.79,38
urban,1918,55.79,38
confuse,1919,55.79,38
southern,1920,55.79,38
output,1921,55.79,38
beauty,1922,55.79,38
massive,1923,55.79,38
install,1924,55.78,38
calculate,1925,55.78,38
mouse,1926,55.78,38
mathematics,1927,55.77,38
upper,1928,55.77,38
creation,1929,55.76,38
occupy,1930,55.76,38
outline,1931,55.76,38
sufficient,1932,55.76,38
update,1933,55.76,38
luck,1934,55.75,38
preserve,1935,55.75,38
split,1936,55.75,38
swing,1937,55.75,38
illness,1938,55.75,38
journalist,1939,55.75,38
sudden,1940,55.75,38
advertisement,1941,55.74,38
consistent,1942,55.74,38
originally,1943,55.73,37
aside,1944,55.73,37
comfort,1945,55.71,37
secondly,1946,55.71,37
severe,1947,55.7,37
gene,1948,55.7,37
prospect,1949,55.7,37
snow,1950,55.7,37
plot,1951,55.7,37
neck,1952,55.69,37
criteria,1953,55.67,37
primarily,1954,55.67,37
integrate,1955,55.67,37
criticism,1956,55.66,37
convention,1957,55.66,37
bet,1958,55.66,37
retain,1959,55.66,37
sequence,1960,55.66,37
plain,1961,55.65,37
volunteer,1962,55.64,37
rural,1963,55.64,37
calm,1964,55.64,37
abandon,1965,55.64,37
examination,1966,55.64,37
silence,1967,55.64,37
rapidly,1968,55.63,37
efficient,1969,55.62,37
revolution,1970,55.62,36
delight,1971,55.62,36
spell,1972,55.61,36
premise,1973,55.61,36
lean,1974,55.6,36
dramatic,1975,55.6,36
differ,1976,55.59,36
grateful,1977,55.59,36
protein,1978,55.59,36
bike,1979,55.59,36
distribute,1980,55.58,36
intellectual,1981,55.58,36
derive,1982,55.58,36
crucial,1983,55.58,36
unemployment,1984,55.57,36
wheel,1985,55.57,36
crop,1986,55.57,36
minority,1987,55.57,36
origin,1988,55.57,36
interpretation,1989,55.57,36
gentleman,1990,55.56,36
drama,1991,55.56,36
landscape,1992,55.56,36
educate,1993,55.56,36
toy,1994,55.55,36
fault,1995,55.55,36
exhibit,1996,55.55,36
minor,1997,55.54,36
hunt,1998,55.53,36
storm,1999,55.53,36
thick,2000,55.53,36
achievement,2001,55.53,36
negotiate,2002,55.53,36
dominate,2003,55.52,36
supplier,2004,55.51,36
prize,2005,55.51,36
typically,2006,55.51,36
peer,2007,55.51,36
pension,2008,55.51,36
wing,2009,55.51,36
acquisition,2010,55.51,36
laughter,2011,55.5,36
deeply,2012,55.5,36
recognition,2013,55.5,35
electricity,2014,55.5,35
assistance,2015,55.5,35
roof,2016,55.5,35
retirement,2017,55.5,35
respectively,2018,55.49,35
variation,2019,55.49,35
ultimately,2020,55.49,35
proof,2021,55.48,35
soil,2022,55.48,35
smart,2023,55.48,35
layer,2024,55.48,35
upset,2025,55.48,35
tooth,2026,55.47,35
representation,2027,55.47,35
preparation,2028,55.47,35
dispute,2029,55.47,35
agenda,2030,55.46,35
emphasis,2031,55.46,35
edition,2032,55.46,35
silver,2033,55.46,35
entertainment,2034,55.46,35
honest,2035,55.46,35
undertake,2036,55.44,35
retail,2037,55.44,35
wire,2038,55.44,35
unlikely,2039,55.44,35
gay,2040,55.43,35
publication,2041,55.43,35
slight,2042,55.43,35
unknown,2043,55.43,35
framework,2044,55.42,35
zone,2045,55.42,35
restrict,2046,55.42,35
trace,2047,55.41,35
inch,2048,55.41,35
equivalent,2049,55.41,35
solid,2050,55.39,35
enterprise,2051,55.39,35
elderly,2052,55.39,35
owe,2053,55.39,35
governor,2054,55.38,35
uniform,2055,55.38,35
port,2056,55.37,34
pitch,2057,55.37,34
arrival,2058,55.37,34
contemporary,2059,55.36,34
gate,2060,55.36,34
ease,2061,55.36,34
beer,2062,55.36,34
specialist,2063,55.35,34
assure,2064,55.35,34
profile,2065,55.35,34
mood,2066,55.34,34
episode,2067,55.34,34
crack,2068,55.33,34
numerous,2069,55.33,34
submit,2070,55.32,34
symptom,2071,55.32,34
virtually,2072,55.31,34
era,2073,55.31,34
coverage,2074,55.3,34
tension,2075,55.3,34
cable,2076,55.29,34
sensitive,2077,55.29,34
nervous,2078,55.29,34
input,2079,55.29,34
isolate,2080,55.28,34
prisoner,2081,55.27,34
eliminate,2082,55.27,34
tight,2083,55.27,34
wet,2084,55.27,34
secondary,2085,55.26,34
welfare,2086,55.26,34
recruit,2087,55.26,34
exclude,2088,55.25,34
string,2089,55.25,33
cloud,2090,55.25,33
persuade,2091,55.25,33
inspire,2092,55.24,33
grand,2093,55.24,33
hence,2094,55.24,33
crew,2095,55.23,33
phenomenon,2096,55.23,33
pupil,2097,55.23,33
FALSE,2098,55.23,33
assist,2099,55.22,33
restore,2100,55.22,33
formula,2101,55.21,33
alter,2102,55.21,33
perceive,2103,55.2,33
routine,2104,55.2,33
sink,2105,55.19,33
stare,2106,55.19,33
anymore,2107,55.19,33
hero,2108,55.18,33
supporter,2109,55.18,33
convert,2110,55.18,33
steady,2111,55.18,33
meter,2112,55.17,33
truck,2113,55.17,33
nose,2114,55.17,33
beside,2115,55.17,33
sail,2116,55.17,33
disaster,2117,55.17,33
pace,2118,55.17,33
heavily,2119,55.17,33
devote,2120,55.16,33
terrorist,2121,55.16,33
justify,2122,55.16,33
vital,2123,55.16,33
fascinate,2124,55.16,33
external,2125,55.15,33
spare,2126,55.15,33
whenever,2127,55.15,33
depression,2128,55.14,33
guilty,2129,55.14,33
underlie,2130,55.14,33
mom,2131,55.14,33
distinction,2132,55.14,33
satisfaction,2133,55.14,33
incorporate,2134,55.14,33
pour,2135,55.14,33
sweep,2136,55.13,33
obligation,2137,55.13,33
sir,2138,55.12,33
evaluate,2139,55.11,32
anger,2140,55.1,32
pub,2141,55.1,32
perception,2142,55.1,32
naturally,2143,55.09,32
currency,2144,55.09,32
database,2145,55.09,32
initially,2146,55.09,32
territory,2147,55.08,32
stream,2148,55.08,32
rarely,2149,55.08,32
height,2150,55.07,32
apparent,2151,55.07,32
western,2152,55.07,32
expansion,2153,55.06,32
constantly,2154,55.06,32
muscle,2155,55.06,32
scare,2156,55.06,32
badly,2157,55.05,32
everyday,2158,55.05,32
boundary,2159,55.05,32
ratio,2160,55.05,32
essay,2161,55.05,32
scream,2162,55.04,32
withdraw,2163,55.03,32
pollution,2164,55.03,32
disorder,2165,55.03,32
furniture,2166,55.02,32
symbol,2167,55.01,32
apartment,2168,55.01,32
demonstration,2169,55.01,32
analyst,2170,55,32
platform,2171,54.99,32
steel,2172,54.99,32
cake,2173,54.99,32
transform,2174,54.99,32
wound,2175,54.98,31
restriction,2176,54.98,31
foundation,2177,54.98,31
designer,2178,54.98,31
strain,2179,54.98,31
innovation,2180,54.97,31
album,2181,54.97,31
singer,2182,54.97,31
trail,2183,54.96,31
trap,2184,54.96,31
loose,2185,54.96,31
extension,2186,54.95,31
wealth,2187,54.95,31
gradually,2188,54.95,31
tank,2189,54.95,31
evil,2190,54.94,31
remarkable,2191,54.94,31
tune,2192,54.94,31
grass,2193,54.94,31
invitation,2194,54.94,31
transition,2195,54.94,31
frighten,2196,54.93,31
bid,2197,54.93,31
breed,2198,54.93,31
extraordinary,2199,54.93,31
brilliant,2200,54.93,31
adviser,2201,54.93,31
stem,2202,54.93,31
reverse,2203,54.92,31
mode,2204,54.92,31
mirror,2205,54.92,31
awful,2206,54.92,31
pose,2207,54.92,31
adjust,2208,54.92,31
creative,2209,54.91,31
nowadays,2210,54.91,31
poem,2211,54.91,31
agricultural,2212,54.91,31
competitor,2213,54.91,31
alcohol,2214,54.91,31
festival,2215,54.9,31
vegetable,2216,54.9,31
van,2217,54.9,31
confident,2218,54.9,31
planet,2219,54.88,31
curve,2220,54.88,31
knee,2221,54.88,31
overcome,2222,54.88,31
web,2223,54.87,31
depth,2224,54.87,31
entrance,2225,54.86,31
log,2226,54.86,31
giant,2227,54.86,31
god,2228,54.85,31
portion,2229,54.85,31
substance,2230,54.85,31
extensive,2231,54.85,31
interpret,2232,54.84,30
independence,2233,54.83,30
sugar,2234,54.83,30
inner,2235,54.83,30
harm,2236,54.82,30
consult,2237,54.82,30
pink,2238,54.81,30
shadow,2239,54.81,30
strip,2240,54.81,30
smooth,2241,54.81,30
intervention,2242,54.81,30
impress,2243,54.81,30
exam,2244,54.81,30
vice,2245,54.81,30
radical,2246,54.8,30
similarly,2247,54.8,30
behave,2248,54.8,30
loud,2249,54.8,30
dimension,2250,54.8,30
subsequent,2251,54.79,30
infection,2252,54.79,30
jacket,2253,54.78,30
efficiency,2254,54.78,30
dirty,2255,54.78,30
statistic,2256,54.78,30
regularly,2257,54.78,30
resort,2258,54.78,30
iron,2259,54.77,30
broadcast,2260,54.77,30
membership,2261,54.77,30
bread,2262,54.77,30
blind,2263,54.77,30
pure,2264,54.76,30
bloody,2265,54.76,30
ally,2266,54.76,30
quantity,2267,54.76,30
bend,2268,54.76,30
mature,2269,54.75,30
briefly,2270,54.75,30
alarm,2271,54.75,30
disturb,2272,54.74,30
sustain,2273,54.74,30
flood,2274,54.74,30
poverty,2275,54.73,30
crazy,2276,54.73,30
cite,2277,54.73,30
newly,2278,54.72,30
parallel,2279,54.72,30
gender,2280,54.72,30
sponsor,2281,54.72,30
boot,2282,54.71,30
accurate,2283,54.7,30
dealer,2284,54.69,29
button,2285,54.69,29
burden,2286,54.69,29
desert,2287,54.69,29
mate,2288,54.69,29
occasionally,2289,54.68,29
shareholder,2290,54.68,29
bowl,2291,54.67,29
discovery,2292,54.67,29
resistance,2293,54.67,29
bath,2294,54.66,29
frequency,2295,54.66,29
criticize,2296,54.66,29
tap,2297,54.65,29
philosophy,2298,54.65,29
lip,2299,54.64,29
attribute,2300,54.64,29
apologize,2301,54.64,29
approval,2302,54.63,29
grab,2303,54.63,29
entitle,2304,54.63,29
lend,2305,54.63,29
involvement,2306,54.63,29
exposure,2307,54.63,29
conventional,2308,54.62,29
digital,2309,54.62,29
translate,2310,54.61,29
edit,2311,54.6,29
formation,2312,54.6,29
deposit,2313,54.6,29
pleasant,2314,54.58,29
overseas,2315,54.58,29
advocate,2316,54.58,29
establishment,2317,54.57,29
summary,2318,54.56,29
rough,2319,54.56,29
pen,2320,54.55,29
recovery,2321,54.55,28
seal,2322,54.55,28
tube,2323,54.55,28
tower,2324,54.54,28
characterize,2325,54.54,28
specify,2326,54.53,28
exact,2327,54.52,28
spin,2328,54.52,28
operator,2329,54.51,28
infant,2330,54.51,28
dig,2331,54.5,28
drag,2332,54.5,28
mount,2333,54.5,28
wrap,2334,54.5,28
anticipate,2335,54.5,28
dependent,2336,54.5,28
specialize,2337,54.5,28
angle,2338,54.49,28
chicken,2339,54.49,28
anxiety,2340,54.49,28
virus,2341,54.48,28
precisely,2342,54.48,28
rival,2343,54.48,28
offense,2344,54.48,28
detect,2345,54.48,28
teenager,2346,54.47,28
admire,2347,54.47,28
moderate,2348,54.46,28
surgery,2349,54.46,28
musician,2350,54.46,28
significance,2351,54.46,28
shower,2352,54.45,28
illegal,2353,54.45,28
charity,2354,54.44,28
universal,2355,54.44,28
cigarette,2356,54.44,28
constitute,2357,54.44,28
adequate,2358,54.44,28
consultant,2359,54.44,28
historian,2360,54.44,28
cousin,2361,54.43,28
visual,2362,54.43,28
stupid,2363,54.43,28
keen,2364,54.42,28
ethnic,2365,54.41,28
twin,2366,54.41,28
clinical,2367,54.41,28
eastern,2368,54.4,28
forecast,2369,54.4,28
segment,2370,54.4,28
custom,2371,54.4,28
adapt,2372,54.4,28
sand,2373,54.39,28
cap,2374,54.39,27
prompt,2375,54.38,27
charm,2376,54.38,27
react,2377,54.38,27
lecture,2378,54.37,27
venture,2379,54.37,27
compound,2380,54.37,27
rescue,2381,54.37,27
mess,2382,54.36,27
preference,2383,54.36,27
